"Year","name","Country.Code","AverageAnnualTemperature","Lo 80","Hi 80","Lo 95","Hi 95","Continent"
1990,"Angola","AGO",22.3338611111111,NA,NA,NA,NA,"Africa"
1991,"Angola","AGO",22.0675277777778,NA,NA,NA,NA,"Africa"
1992,"Angola","AGO",22.2471944444444,NA,NA,NA,NA,"Africa"
1993,"Angola","AGO",22.2356666666667,NA,NA,NA,NA,"Africa"
1994,"Angola","AGO",22.0856944444444,NA,NA,NA,NA,"Africa"
1995,"Angola","AGO",22.8384166666667,NA,NA,NA,NA,"Africa"
1996,"Angola","AGO",22.331125,NA,NA,NA,NA,"Africa"
1997,"Angola","AGO",22.1399027777778,NA,NA,NA,NA,"Africa"
1998,"Angola","AGO",23.0511388888889,NA,NA,NA,NA,"Africa"
1999,"Angola","AGO",22.4300138888889,NA,NA,NA,NA,"Africa"
2000,"Angola","AGO",22.4282222222222,NA,NA,NA,NA,"Africa"
2001,"Angola","AGO",22.5376388888889,NA,NA,NA,NA,"Africa"
2002,"Angola","AGO",22.8900277777778,NA,NA,NA,NA,"Africa"
2003,"Angola","AGO",23.0972361111111,NA,NA,NA,NA,"Africa"
2004,"Angola","AGO",22.4974027777778,NA,NA,NA,NA,"Africa"
2005,"Angola","AGO",22.6322777777778,NA,NA,NA,NA,"Africa"
2006,"Angola","AGO",21.9179027777778,NA,NA,NA,NA,"Africa"
2007,"Angola","AGO",22.3778333333333,NA,NA,NA,NA,"Africa"
2008,"Angola","AGO",22.3850972222222,NA,NA,NA,NA,"Africa"
2009,"Angola","AGO",22.3729444444444,NA,NA,NA,NA,"Africa"
2010,"Angola","AGO",22.5324305555556,NA,NA,NA,NA,"Africa"
2011,"Angola","AGO",22.0221805555556,NA,NA,NA,NA,"Africa"
2012,"Angola","AGO",22.1465,NA,NA,NA,NA,"Africa"
1990,"Albania","ALB",16.3710833333333,NA,NA,NA,NA,"Europe"
1991,"Albania","ALB",15.3635833333333,NA,NA,NA,NA,"Europe"
1992,"Albania","ALB",16.0605,NA,NA,NA,NA,"Europe"
1993,"Albania","ALB",16.0496666666667,NA,NA,NA,NA,"Europe"
1994,"Albania","ALB",16.9555,NA,NA,NA,NA,"Europe"
1995,"Albania","ALB",15.6706666666667,NA,NA,NA,NA,"Europe"
1996,"Albania","ALB",15.6365833333333,NA,NA,NA,NA,"Europe"
1997,"Albania","ALB",15.9025833333333,NA,NA,NA,NA,"Europe"
1998,"Albania","ALB",16.2740833333333,NA,NA,NA,NA,"Europe"
1999,"Albania","ALB",16.5724166666667,NA,NA,NA,NA,"Europe"
2000,"Albania","ALB",16.66775,NA,NA,NA,NA,"Europe"
2001,"Albania","ALB",16.5885,NA,NA,NA,NA,"Europe"
2002,"Albania","ALB",16.47175,NA,NA,NA,NA,"Europe"
2003,"Albania","ALB",16.6923333333333,NA,NA,NA,NA,"Europe"
2004,"Albania","ALB",16.16225,NA,NA,NA,NA,"Europe"
2005,"Albania","ALB",15.66725,NA,NA,NA,NA,"Europe"
2006,"Albania","ALB",15.921,NA,NA,NA,NA,"Europe"
2007,"Albania","ALB",16.672,NA,NA,NA,NA,"Europe"
2008,"Albania","ALB",16.7075833333333,NA,NA,NA,NA,"Europe"
2009,"Albania","ALB",16.73,NA,NA,NA,NA,"Europe"
2010,"Albania","ALB",16.5166666666667,NA,NA,NA,NA,"Europe"
2011,"Albania","ALB",16.4485,NA,NA,NA,NA,"Europe"
2012,"Albania","ALB",16.7025,NA,NA,NA,NA,"Europe"
1990,"Argentina","ARG",17.4104583333333,NA,NA,NA,NA,"Americas"
1991,"Argentina","ARG",17.5166901041667,NA,NA,NA,NA,"Americas"
1992,"Argentina","ARG",17.0587760416667,NA,NA,NA,NA,"Americas"
1993,"Argentina","ARG",17.3297786458333,NA,NA,NA,NA,"Americas"
1994,"Argentina","ARG",18.0045494791667,NA,NA,NA,NA,"Americas"
1995,"Argentina","ARG",17.5231067708333,NA,NA,NA,NA,"Americas"
1996,"Argentina","ARG",17.5404348958333,NA,NA,NA,NA,"Americas"
1997,"Argentina","ARG",18.0953098958333,NA,NA,NA,NA,"Americas"
1998,"Argentina","ARG",17.4373854166667,NA,NA,NA,NA,"Americas"
1999,"Argentina","ARG",17.3102265625,NA,NA,NA,NA,"Americas"
2000,"Argentina","ARG",17.1223020833333,NA,NA,NA,NA,"Americas"
2001,"Argentina","ARG",17.8125364583333,NA,NA,NA,NA,"Americas"
2002,"Argentina","ARG",17.640609375,NA,NA,NA,NA,"Americas"
2003,"Argentina","ARG",17.8718046875,NA,NA,NA,NA,"Americas"
2004,"Argentina","ARG",17.6952604166667,NA,NA,NA,NA,"Americas"
2005,"Argentina","ARG",17.4783619791667,NA,NA,NA,NA,"Americas"
2006,"Argentina","ARG",18.0037083333333,NA,NA,NA,NA,"Americas"
2007,"Argentina","ARG",16.9195104166667,NA,NA,NA,NA,"Americas"
2008,"Argentina","ARG",17.7842239583333,NA,NA,NA,NA,"Americas"
2009,"Argentina","ARG",17.9014869791667,NA,NA,NA,NA,"Americas"
2010,"Argentina","ARG",17.4108880208333,NA,NA,NA,NA,"Americas"
2011,"Argentina","ARG",17.6157630208333,NA,NA,NA,NA,"Americas"
2012,"Argentina","ARG",18.0929609375,NA,NA,NA,NA,"Americas"
1990,"Armenia","ARM",9.09783333333333,NA,NA,NA,NA,"Asia"
1991,"Armenia","ARM",9.21941666666667,NA,NA,NA,NA,"Asia"
1992,"Armenia","ARM",7.436,NA,NA,NA,NA,"Asia"
1993,"Armenia","ARM",7.693,NA,NA,NA,NA,"Asia"
1994,"Armenia","ARM",8.83525,NA,NA,NA,NA,"Asia"
1995,"Armenia","ARM",9.75825,NA,NA,NA,NA,"Asia"
1996,"Armenia","ARM",9.54641666666667,NA,NA,NA,NA,"Asia"
1997,"Armenia","ARM",9.10183333333333,NA,NA,NA,NA,"Asia"
1998,"Armenia","ARM",10.2829166666667,NA,NA,NA,NA,"Asia"
1999,"Armenia","ARM",10.10925,NA,NA,NA,NA,"Asia"
2000,"Armenia","ARM",9.67916666666667,NA,NA,NA,NA,"Asia"
2001,"Armenia","ARM",10.1811666666667,NA,NA,NA,NA,"Asia"
2002,"Armenia","ARM",9.40958333333333,NA,NA,NA,NA,"Asia"
2003,"Armenia","ARM",9.19591666666667,NA,NA,NA,NA,"Asia"
